Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
1140129,2005/02/26,"20 h 36 min 50 sec","VAL D'ARAN",ESPAGNE,,526377.22,6180148.86,42.70,0.88,4.5,INCERTAINE
170132,2005/04/04,"17 h 7 min 55 sec","ILE D'OLERON",CHARENTES,,364291.29,6544433.59,45.92,-1.33,4,"ASSEZ SURE"
730224,2005/04/10,"8 h 4 min 39 sec","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",,980336.19,6482353.80,45.38,6.58,4,"ASSEZ SURE"
170131,2005/04/18,"6 h 42 min 50 sec","ILE D'OLERON",CHARENTES,,364392.81,6546281.57,45.93,-1.33,4.5,"ASSEZ SURE"
1120297,2005/05/12,"1 h 38 min 6 sec","JURA SUISSE (N.E SOLOTHURN)",SUISSE,,1054943.44,6699419.98,47.30,7.70,4,INCERTAINE
850063,2005/06/22,"19 h 41 min 38 sec","ILE DE NOIRMOUTIER","PAYS NANTAIS ET VENDEEN",,303647.63,6664925.91,46.97,-2.22,4.5,"ASSEZ SURE"
740157,2005/09/08,"11 h 27 min 18 sec","MASSIF DU MONT-BLANC (VALLORCINE)","ALPES SAVOYARDES",,1002814.60,6555687.09,46.03,6.92,5,SURE
370035,2005/09/09,"21 h 37 min 37 sec","PLATEAU DE SAINTE-MAURE (W. LES ORMES)",TOURAINE,,513862.96,6658418.77,47.00,0.55,4,SURE
1110223,2005/09/22,"19 h 43 min 59 sec","SAARE (N-W. SAARBRUCKEN)",ALLEMAGNE,,980821.55,6925448.08,49.37,6.87,4,ARBITRAIRE
740158,2005/10/31,"3 h 39 min 59 sec","VALLEE DE L'ARLY (N. ALBERTVILLE)","ALPES SAVOYARDES",,964409.11,6518702.98,45.72,6.40,5,INCERTAINE
650503,2005/11/05,"0 h 30 min 9 sec","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,469142.90,6224591.59,43.08,0.17,4.5,INCERTAINE
1120298,2005/11/12,"19 h 31 min 16 sec","JURA SUISSE (N-E. AARAU)",SUISSE,,1087433.29,6723709.51,47.50,8.15,5,INCERTAINE
10038,2006/01/11,"10 h 32 min 8 sec","BUGEY (N-O. BELLEY)","BRESSE ET JURA BRESSAN",,891160.62,6538205.73,45.92,5.47,4.5,"ASSEZ SURE"
660098,2006/02/07,"14 h 59 min 19 sec","PAYS DE MONTLOUIS (E. MONTLOUIS)","PYRENEES ORIENTALES",,597106.73,6156389.51,42.50,1.75,3.5,INCERTAINE
640570,2006/05/04,"9 h 42 min 6 sec","BEARN (E. ARETTE)","PYRENEES OCCIDENTALES",,395684.70,6223938.52,43.05,-0.73,4,"ASSEZ SURE"
110018,2006/05/08,"21 h 47 min 57 sec","PLATEAUX DE SAULT ET DE QUERIGUT (MAZUBY)",LANGUEDOC,,618083.24,6187608.48,42.78,2.00,3,INCERTAINE
650504,2006/05/20,"5 h 36 min 6 sec","BIGORRE (E. ARGELES-GAZOST)","PYRENEES CENTRALES",,460723.39,6217481.82,43.02,0.07,4.5,INCERTAINE
160050,2006/08/24,"20 h 0 min 59 sec","SAINTONGE (E. MATHA)",CHARENTES,,453027.84,6532795.26,45.85,-0.18,5,SURE
1130572,2006/09/02,"1 h 21 min 31 sec","PIEMONT (N. SAN REMO)",ITALIE,,1067835.04,6325603.87,43.93,7.58,4.5,INCERTAINE
230045,2006/09/13,"13 h 5 min 3 sec","HAUTE-MARCHE (N-E. LA SOUTERRAINE)",LIMOUSIN,,585763.51,6575160.52,46.27,1.52,4,SURE
640571,2006/11/04,"16 h 44 min 57 sec","BEARN (E. ARUDY)","PYRENEES OCCIDENTALES",,427304.48,6231793.88,43.13,-0.35,4,"ASSEZ SURE"
490105,2006/11/05,"0 h 37 min 40 sec","SAUMUROIS (CANDES-SAINT-MARTIN)",ANJOU,,475530.36,6683814.02,47.22,0.03,4,SURE
650505,2006/11/17,"18 h 19 min 50 sec","BIGORRE (GAZOST)","PYRENEES CENTRALES",,,,,,6,SURE
680137,2006/12/08,"16 h 48 min 39 sec","PLAINE DE HAUTE ALSACE (HUNINGUE)",ALSACE,,1044209.44,6732172.61,47.60,7.58,4,INCERTAINE
650506,2006/12/16,"8 h 17 min 1 sec","BIGORRE (W. ARGELES-GAZOST)","PYRENEES CENTRALES",,444343.84,6216256.76,43.00,-0.13,5,"ASSEZ SURE"
370036,2007/01/08,"11 h 36 min 55 sec","CHINONAIS (S-E. CHINON)",TOURAINE,,502775.52,6668034.02,47.08,0.40,3.5,"ASSEZ SURE"
880083,2007/05/26,"13 h 40 min 23 sec","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)",VOSGES,,977809.71,6810266.43,48.33,6.75,3.5,"ASSEZ SURE"
850065,2007/07/22,"13 h 29 min 57 sec","BOCAGE VENDEEN (N-E. LA ROCHE-SUR-YON)","PAYS NANTAIS ET VENDEEN",,365007.65,6650057.72,46.87,-1.40,4,"ASSEZ SURE"
880084,2007/08/19,"7 h 32 min 55 sec","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)",VOSGES,,974195.08,6808241.35,48.32,6.70,4,SURE
50103,2007/10/05,"6 h 5 min 22 sec","BRIANCONNAIS (N-O. BRIANCON)","ALPES DAUPHINOISES",,978248.72,6441496.54,45.02,6.53,3.5,ARBITRAIRE
850066,2007/10/28,"13 h 48 min 53 sec","MARAIS BRETON (S-O. NANTES)","PAYS NANTAIS ET VENDEEN",,339547.90,6649677.58,46.85,-1.73,3,"ASSEZ SURE"
650508,2007/11/15,"13 h 47 min 35 sec","BIGORRE (E. ARGELES-GAZOST)","PYRENEES CENTRALES",,452570.17,6217790.01,43.02,-0.03,5,"ASSEZ SURE"
640572,2007/11/24,"5 h 24 min 53 sec","PAYS BASQUE (S-E. SAINT-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",,370368.98,6234463.70,43.13,-1.05,4,"ASSEZ SURE"
